date,Rainfall,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WD50M,WS50M_RANGE,WS50M_MIN,WS50M_MAX,WS50M
1981-03-27,0.72,99.44,6.7,8.49,3.98,4.52,163.88,5.62,82.94,8.32,5.26,6.8,8.37,9.59,13.44,3.84,165.0,4.97,6.23,11.2,9.09
1981-03-28,0.23,98.92,7.16,11.76,1.09,10.67,177.88,6.77,85.56,10.48,8.02,9.26,9.73,7.73,14.52,6.8,178.81,13.68,1.55,15.23,9.77
1981-03-29,3.57,99.16,5.25,7.23,2.88,4.36,43.25,6.84,95.38,8.64,8.12,8.38,8.45,5.95,11.62,5.67,44.31,3.87,5.26,9.12,7.3
1981-03-30,0.66,100.29,5.34,7.22,3.3,3.92,21.62,6.1,91.25,7.99,6.6,7.3,8.12,8.17,12.6,4.43,22.38,3.08,5.75,8.84,7.25
1981-03-31,4.81,100.56,3.96,4.66,2.55,2.12,28.0,5.43,92.81,6.11,5.01,5.56,6.39,6.65,10.06,3.41,29.19,1.83,3.82,5.65,5.16
1981-04-01,4.13,100.1,3.23,4.2,2.08,2.12,284.5,5.62,89.75,7.04,5.49,6.26,7.01,9.66,12.8,3.13,284.81,1.51,3.83,5.34,4.52
1981-04-02,0.05,100.88,3.39,5.05,2.02,3.05,126.38,5.68,88.0,7.55,5.72,6.63,7.85,10.86,13.51,2.65,111.81,3.68,2.59,6.26,4.8
1981-04-03,0.18,101.45,4.53,6.76,3.59,3.16,49.88,5.25,89.75,6.29,4.62,5.46,6.9,8.01,11.66,3.65,50.44,3.78,4.45,8.23,5.88
1981-04-04,0.2,101.65,3.24,4.24,1.95,2.3,24.62,5.0,86.69,6.17,4.04,5.1,6.8,7.88,10.47,2.59,24.94,1.27,3.65,4.92,4.41
1981-04-05,0.38,101.41,4.43,6.53,2.27,4.27,40.62,4.82,85.81,5.69,3.4,4.55,6.05,7.13,9.83,2.71,41.19,4.39,3.62,8.01,6.12
1981-04-06,0.57,101.09,5.12,6.5,3.12,3.38,54.38,4.94,85.31,6.3,3.86,5.08,6.65,7.52,10.65,3.14,55.31,3.08,4.73,7.81,6.88
1981-04-07,0.76,100.74,1.94,3.07,0.23,2.84,163.56,4.76,79.62,6.68,3.12,4.9,7.08,8.04,11.09,3.06,163.38,4.43,0.2,4.62,2.62
1981-04-08,1.3,101.02,3.14,4.8,2.3,2.49,209.31,6.29,90.5,8.45,7.06,7.76,8.65,10.77,14.23,3.45,209.62,4.2,2.57,6.77,5.01
1981-04-09,0.68,101.24,2.27,3.51,0.95,2.55,224.94,6.77,87.56,10.42,8.33,9.37,10.12,9.16,15.3,6.14,224.56,4.85,1.38,6.23,3.56
1981-04-10,0.63,100.57,5.29,8.12,2.14,5.98,121.0,7.08,84.31,11.33,8.76,10.05,11.23,14.14,18.81,4.68,121.94,6.89,3.78,10.67,7.44
1981-04-11,1.38,99.75,4.01,6.33,2.54,3.8,192.69,8.36,88.25,13.17,11.17,12.17,13.24,10.19,18.19,8.01,193.19,5.89,3.42,9.31,6.15
1981-04-12,0.94,100.49,3.31,5.3,0.41,4.88,178.81,6.96,88.69,10.46,8.64,9.55,10.53,7.26,14.19,6.94,178.62,6.3,0.64,6.94,4.64
1981-04-13,0.33,101.59,7.84,9.5,4.83,4.66,64.81,5.31,81.75,7.89,4.73,6.31,8.19,6.8,11.26,4.46,65.81,4.68,6.95,11.63,10.14
1981-04-14,0.4,101.65,7.3,8.82,6.23,2.59,65.25,4.88,79.5,7.39,3.65,5.51,7.73,9.25,13.05,3.8,66.38,2.58,8.36,10.93,9.43
1981-04-15,0.04,101.6,7.05,8.81,4.98,3.84,53.12,5.25,80.25,8.27,4.69,6.48,8.65,10.62,14.59,3.98,54.19,2.92,7.88,10.8,9.19
1981-04-16,0.02,101.51,5.26,6.77,3.27,3.51,45.12,5.07,79.94,7.84,4.17,6.01,8.3,10.26,14.03,3.76,45.69,2.63,5.51,8.14,7.12
1981-04-17,0.02,101.44,5.11,7.27,3.56,3.71,76.5,4.33,75.44,6.48,1.9,4.19,7.01,11.57,12.3,0.73,77.25,4.37,4.84,9.2,6.98
